Melodic death,Doom,,,
Power,,,,
Progressive math,Djent,,,
Black,Melodic black,Progressive black,,
Blackened thrash,Crossover thrash,,,
Death,Thrash,,,
Heavy,Power,,,
Technical death,Melodic death,,,
Technical death,Progressive death,,,
Melodic black,Melodic death,Heavy,,
New wave of british heavy,Hard rock,,,
Hardcore,Metalcore,,,
Power,,,,
Folk,,,,
Grunge,Stoner,,,
Progressive math,,,,
Death,Black,Avantgarde,Thrash,
Atmospheric rock,,,,
Hard rock,Stoner rock,,,
Death,Gothic,,,
Technical death,,,,
Black,Shoegaze,,,
Death doom,,,,
Progressive math,Djent,,,
Progressive,,,,
Hard rock,Alternative,,,
Symphonic doom,,,,
Death,,,,
Psychedelic doom,Funeral doom,,,
Brutal death,,,,
Doom,Gothic,,,
Post-metal,Post-rock,,,
Industrial gothic,,,,
Symphonic power,,,,
Power,,,,
Death,,,,
Progressive,,,,
Deathcore,Death,,,
Heavy,,,,
Viking black,,,,
Industrial,Synth pop,,,
Stoner,Stoner rock,,,
Melodic doom,,,,
Progressive,,,,
Death,,,,
Melodic black,,,,
Brutal death,Blackened death,Grindcore,,
Hard rock,Glam,,,
Hard rock,Rock,,,
Funeral doom,,,,
Pagan folk,,,,
Symphonic power,,,,
Modern thrash,Melodic death,,,
Progressive rock,,,,
Hard rock,Glam,,,
Crossover thrash,Hardcore,Punk,,
Deathcore,,,,
Progressive,Instrumental,,,
Black,Viking folk,,,
Power,Acappella,,,
Thrash,,,,
Atmospheric black,,,,
Deathcore,,,,
Doom,Stoner,,,
Atmospheric black,Folk,,,
Power,,,,
Progressive,Symphonic power,,,
Black,Death,Progressive death,,
Heavy,Power,,,
Symphonic,Progressive,Power,,
Black,Thrash,,,
Melodic black,Extreme power,Folk,,
Bay area thrash,,,,
Metalcore,,,,
Technical death,,,,
Suomi,Depressive heavy,,,
Math,Metalcore,,,
Atmospheric black,Post-metal,Shoegaze,,
Melodic death,Doom,,,
Folk,Doom,Black,,
Melodic death,Progressive,,,
Avantgarde black,,,,
Gothic doom,,,,
Sludge,,,,
Power,,,,
Doom,Stoner,,,
Bay area thrash,,,,
Brutal death,Technical death,,,
Progressive,Alternative,,,
Folk,,,,
Death,Funeral doom,,,
Deathgrind,,,,
Technical metalcore,,,,
Gothenburg,,,,
Death,Progressive death,,,
Heavy,,,,
Death,Blackened thrash,,,
Symphonic black,Industrial,,,
Suomi,Death,,,
Deathcore,,,,
Death,,,,
Progressive deathcore,,,,
Stoner,,,,
Metalcore,,,,
Death doom,Atmospheric doom,,,
Blackened thrash,Blackened death,,,
Melodic death,,,,
Symphonic progressive,,,,
Noise rock,Alternative thrash,Industrial,,
Thrash,,,,
Hard rock,Heavy,,,
Technical death,,,,
Folk,Power,,,
Melodic death,Doom,,,
Doom,Gothic,,,
Power,,,,
